gene	utrprism_percentile	sequence_only_percentile	full_model_zero_coverage_percentile	miranda_score_max_percentile	targetscan_score_percentile	mirdb_score_percentile	wt_expression	ko_expression	rna_derepression	wt_exon	ko_exon	wt_intron	ko_intron	stability_derepression	protein_derepression	protein_change_fdr	published_stabilized_target	ago_3utr_motif	ago_3utr_ko_depleted	ago_3utr_canonical	ago_3utr_direct
1110038F14Rik	0.5915492957746479	0.380281690140845	0.6338028169014085	0.4507042253521127			588.3466948804981	624.6950408487556	0.0863430917780311	595.0570880487204	620.0624889474806	134.62374282628176	149.71895761656234	-0.0929632066849113	-0.0608244478030715	0.916807613923993	0	0	0	0	0
1110059G10Rik	0.746268656716418	0.2686567164179104	0.572139303482587	0.6840796019900498			800.5885858481511	734.8903680632571	-0.1233711139830067	809.9073103703844	729.2754239627412	181.51000948504156	161.8410360351622	0.0134149447798109	-0.159230392097908	0.179452403200341	0	0	0	0	0
4921536K21Rik	0.4278606965174129	0.4328358208955223	0.5024875621890548	0.5895522388059702			3.5945841269862933	2.788312098878867	-0.2783790920220869	3.639161610981939	2.7717719493806694	1.5719386481344089	3.035169532273289	-0.9483947145191448			0	0	0	0	0
4933427D14Rik	0.2075471698113207	0.2264150943396226	0.2075471698113207	0.2594339622641509			505.610519212398	606.9494918114763	0.2630744368058673	511.6634420504117	602.4657750776655	425.20071455152447	529.8520963641186	-0.0815170185557978	0.0924338428330015	0.619776154651087	0	0	0	0	0
9530068E07Rik	0.2686567164179104	0.4129353233830846	0.3184079601990049	0.4925373134328358			3245.8348427800333	3377.008246096708	0.0571388492118582	3281.4115114467627	3350.626724758385	195.3403476024056	231.57009851015377	-0.2142035829463741	0.0370087060503788	0.915915725870169	0	0	0	0	0
Abhd18	0.6056338028169014	0.5492957746478874	0.5211267605633803	0.5704225352112676													0	0	0	0	0
Add3	0.3943661971830985	0.704225352112676	0.5915492957746479	0.1619718309859155		0.9411764705882352	2632.6296954292084	2533.751421272116	-0.0552082365021848	2661.490703615398	2513.83007975783	843.6726886833071	449.50249962671023	0.8245417296660231	0.0709425050947432	0.514261448536112	0	0	0	0	0
Adgre5	0.5522388059701493	0.1243781094527363	0.1741293532338308	0.5522388059701493													0	0	0	0	0
Aen	0.5472636815920398	0.2935323383084577	0.1791044776119403	0.7412935323383084			1428.2262877730209	1268.5471705589378	-0.170920354861639	1445.738028919818	1259.32399171549	566.7415038902407	529.1070742156032	-0.1000586330629322	-0.396832078593518	0.593475108345706	0	0	0	0	0
Akap6	0.044776119402985	0.1492537313432835	0.1343283582089552	0.3532338308457711			3.157514485751576	0.8301806181627195	-1.1837352569612063	3.211504261439702	0.8254885448518029	14.391828753599832	17.042561199518005	-1.4352925053300687			0	0	0	0	0
Akip1	0.9150943396226416	0.8490566037735849	0.8962264150943396	0.0613207547169811													0	0	0	0	0
Akr1e1	0.0140845070422535	0.056338028169014	0.2957746478873239	0.8873239436619719			680.265748270915	643.4632585376094	-0.0801195632631854	688.1667806363997	638.5765177116109	234.15255792390235	244.2584808049286	-0.1684421902509898	0.0318368767782168	0.935303306795649	0	0	0	0	0
