experiment,gene,coverage_run,utr_length,shape_js_divergence,amplitude_log_difference,distal_usage_difference,within_experiment_shape_js_divergence_percentile,within_experiment_amplitude_log_difference_percentile,within_experiment_distal_usage_difference_percentile,context_divergence_composite,context_divergence_stratum
U2OS_miR1,CAAP1,SRR1551153,1616,0.1135264162092772,0.2066547001865588,0.0904219596361421,0.6666666666666666,0.2222222222222222,0.6666666666666666,0.5185185185185185,Moderate divergence
U2OS_miR1,FNDC3A,SRR1551153,2384,0.0588717636922514,2.008829060674832,0.0078032783660935,0.4444444444444444,0.8888888888888888,0.1111111111111111,0.4814814814814814,Moderate divergence
U2OS_miR1,C6orf120,SRR1551153,3325,0.0468082684126363,1.0639158764337648,0.0392436765496932,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.3703703703703704,Low divergence
U2OS_miR1,DICER1,SRR1551153,4270,0.1765442670650058,3.574860402675978,0.0965030520136978,1.0,1.0,0.7777777777777778,0.925925925925926,High divergence
U2OS_miR1,DDX5,SRR1551153,1669,0.0998234198458566,1.9635711308839257,0.1350823515645371,0.5555555555555556,0.6666666666666666,0.8888888888888888,0.7037037037037037,High divergence
U2OS_miR1,NCL,SRR1551153,1660,0.0492137473231411,0.1394012480285216,0.0263245903948184,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.2592592592592592,Low divergence
U2OS_miR1,SNTB2,SRR1551153,8128,0.1396172587045236,1.9857697182043696,0.1757890682970725,0.7777777777777778,0.7777777777777778,1.0,0.8518518518518517,High divergence
U2OS_miR1,ZBTB38,SRR1551153,3816,0.044624526356904,0.8528146917177075,0.0085072478322958,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.2222222222222222,Low divergence
U2OS_miR1,GNAI3,SRR1551153,7873,0.1462808141323259,1.0730872925807864,0.077489873439402,0.8888888888888888,0.5555555555555556,0.5555555555555556,0.6666666666666666,Moderate divergence
U2OS_miR155,ZWILCH,SRR1551153,1806,0.0777426428156514,1.1889982267952797,0.0362031496051076,0.3859649122807017,0.3859649122807017,0.3157894736842105,0.3625730994152046,Low divergence
U2OS_miR155,ORC6,SRR1551153,809,0.0387394040585517,1.4819966775645437,0.1079810926099995,0.087719298245614,0.5263157894736842,0.6842105263157895,0.4327485380116959,Moderate divergence
U2OS_miR155,NEMF,SRR1551153,2553,0.0653923302997341,1.8515379234940768,0.0753632805943425,0.2807017543859649,0.5964912280701754,0.5263157894736842,0.4678362573099415,Moderate divergence
U2OS_miR155,NR1D2,SRR1551153,3198,0.0402112339943193,0.1449286108934298,0.0258668234408496,0.1052631578947368,0.087719298245614,0.2280701754385964,0.1403508771929824,Low divergence
U2OS_miR155,TSHZ3,SRR1551153,1602,0.1459775258112667,0.4705692289665546,0.093143261080191,0.7543859649122807,0.1578947368421052,0.631578947368421,0.5146198830409356,Moderate divergence
U2OS_miR155,TMEM123,SRR1551153,2535,0.0383482557081456,0.6182538434163147,0.0158200662392956,0.0701754385964912,0.1929824561403508,0.1578947368421052,0.1403508771929824,Low divergence
U2OS_miR155,ZMYM2,SRR1551153,3101,0.1883180096481801,2.766121749524044,0.1711575418461386,0.8421052631578947,0.9649122807017544,0.8245614035087719,0.8771929824561403,High divergence
U2OS_miR155,ANXA2,SRR1551153,479,0.0681145810950967,0.6417308765004677,0.003585813047148,0.2982456140350877,0.2105263157894736,0.0526315789473684,0.1871345029239766,Low divergence
U2OS_miR155,RNF19A,SRR1551153,1489,0.0439076899388842,2.044491565566536,0.0277460460714742,0.1403508771929824,0.6666666666666666,0.2456140350877192,0.3508771929824561,Low divergence
